Escape Room Name,Address,Phone,URL,Hours of operation,Reviews,Service_options
Escaping Utrecht: Escape Room Games,"Croeselaan 303, 3521 BT Utrecht, Netherlands",+31 85 401 9567,http://www.escaping.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-06'}]}",188,['Wheelchair-accessible entrance']
Secret Escape Game,"Am Salzhaus 4, 60311 Frankfurt am Main",0176 67070810,http://secretescapegame.com/,"{'timezone': 'Europe/Berlin', 'days': [{'day': 'Wednesday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-06'}]}",573,['Live performances']
The Queen Escape Room Utrecht,"Oudegracht 183, 3511 NE Utrecht, Netherlands",+31 30 737 1007,http://www.realadventuregame.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-06'}]}",462,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']"
Room Escape Frankfurt,"Schmidtstraße 12, 60326 Frankfurt am Main",069 40154763,https://roomescape-frankfurt.de/,"{'timezone': 'Europe/Berlin', 'days': [{'day': 'Wednesday', 'time': '10\u202fam–8\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '10\u202fam–8\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '10\u202fam–8\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–7\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': 'Closed', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '10\u202fam–8\u202fpm', 'date': '2024-08-06'}]}",457,['On-site services']
"The Team Building - Fusion Drift, Escape rooms en Real Axe Throwing","Admiraal Helfrichlaan 6, 3527 KV Utrecht, Netherlands",+31 30 290 1738,https://theteambuilding.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '12–10:30\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '12–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '12–11\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–8\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '3–10:30\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '12–10:30\u202fpm', 'date': '2024-08-06'}]}",1099,['Identifies as women-owned']
Room Fox - #1 Escape Room Frankfurt am Main,"Moselstraße 4, 60329 Frankfurt am Main",069 98664461,http://www.room-fox.de/,"{'timezone': 'Europe/Berlin', 'days': [{'day': 'Wednesday', 'time': '3–8:45\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '3–8:45\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '3–10:15\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11:15\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–11:15\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '3–8:45\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '3–8:45\u202fpm', 'date': '2024-08-06'}]}",649,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']"
Du Monde Escaperooms,"Dorpsstraat 104A, 1182 JH Amstelveen, Netherlands",+31 20 345 3366,http://www.dumondeescaperooms.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': 'Open 24 hours', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': 'Open 24 hours', 'date': '2024-08-01'}, {'day': 'Friday', 'time': 'Open 24 hours', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': 'Open 24 hours', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': 'Open 24 hours', 'date': '2024-08-04'}, {'day': 'Monday', 'time': 'Open 24 hours', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': 'Open 24 hours', 'date': '2024-08-06'}]}",19,['Wheelchair-accessible car park']
Escape Room Eindhoven,"De Oude Rechtbank, Stratumseind 32, 5611 ET Eindhoven, Netherlands",+31 40 843 2663,http://www.nextlevelescaperoom.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '5:30–10\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '5:30–10\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '5:30–10\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '5:30–10\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '5:30–10\u202fpm', 'date': '2024-08-06'}]}",448,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']"
#ANT Escape Rooms - De Kelder,"Wiedauwkaai 23P, 9000 Gent, Belgium",+32 9 398 15 57,http://www.antescaperooms.be/,"{'timezone': 'Europe/Brussels', 'days': [{'day': 'Wednesday', 'time': '9:30\u202fam–12\u202fam', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '9:30\u202fam–12\u202fam', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '9:30\u202fam–12\u202fam', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '9:30\u202fam–12\u202fam', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '9:30\u202fam–12\u202fam', 'date': '2024-08-04'}, {'day': 'Monday', 'time': 'Closed', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '9:30\u202fam–12\u202fam', 'date': '2024-08-06'}]}",61,['Wheelchair-accessible entrance']
Breakout Room Escape Room,"Jagersheuvelstraat 3a, 5222 BJ 's-Hertogenbosch, Netherlands",+31 73 689 8257,http://www.breakoutroom.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-06'}]}",212,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']"
Backspace Escape Rooms,"Transformatorweg 30a, 1014 AK Amsterdam, Netherlands",+31 20 737 3126,http://www.backspace-escaperooms.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '9:30\u202fam–10\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '9:30\u202fam–10\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '9:30\u202fam–10\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '12–10\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '12–10\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '9:30\u202fam–10\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '9:30\u202fam–10\u202fpm', 'date': '2024-08-06'}]}",340,['Wheelchair-accessible car park']
The Great Escape Frankfurt | Escape Room Games,"Hanauer Landstraße 340, 60314 Frankfurt am Main",0173 3097463,http://www.escapefrankfurt.de/,"{'timezone': 'Europe/Berlin', 'days': [{'day': 'Wednesday', 'time': '11\u202fam–9:45\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '11\u202fam–9:45\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '11\u202fam–11:15\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '11\u202fam–11:15\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '11\u202fam–9:45\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '11\u202fam–9:45\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '11\u202fam–9:45\u202fpm', 'date': '2024-08-06'}]}",1542,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']"
"Questomatica Amsterdam. Escape room, real-life quest (former Claustrophobia)","Foeliestraat 16, 1011 TM Amsterdam, Netherlands",+31 6 28383155,https://questomatica.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '12:30–10\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '11\u202fam–10\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '9:30\u202fam–10:30\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '9:30\u202fam–10:30\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '9:30\u202fam–10\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '9:30\u202fam–10\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '11\u202fam–10\u202fpm', 'date': '2024-08-06'}]}",335,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']"
Escaperoom Groenlo,"Beltrumsestraat 4, 7141 AL Groenlo, Netherlands",+31 6 40219941,https://escaperoomgroenlo.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': 'Closed', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-06'}]}",255,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet', 'Assistive hearing loop']"
Escaping,"Reyndersstraat 20, 2000 Antwerpen, Belgium",+32 78 48 67 45,http://www.escapingrooms.be/,"{'timezone': 'Europe/Brussels', 'days': []}",567,['Wheelchair-accessible car park']
Puzzle escape rooms Kortrijk,"Engelse Wandeling 2/K19, 8500 Kortrijk, Belgium",+32 485 23 38 36,http://www.puzzleescaperooms.be/,"{'timezone': 'Europe/Brussels', 'days': [{'day': 'Wednesday', 'time': '1–11\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '3–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '3–11\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '3–11\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '3–11\u202fpm', 'date': '2024-08-06'}]}",49,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Assistive hearing loop', 'Wheelchair-accessible toilet']"
Locks & Keys escape room,"Besterdring 225A, 5014 HK Tilburg, Netherlands",+31 6 31555744,http://www.lockskeys.nl/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '10\u202fam–11\u202fpm', 'date': '2024-08-06'}]}",195,['Wheelchair-accessible entrance']
The Great Escape,"Burgemeester Drijbersingel 19, 8021 DA Zwolle, Netherlands",+31 38 202 2646,https://www.thegreatescape.info/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '9\u202fam–10\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '9\u202fam–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '9\u202fam–11:30\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–11:30\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '9\u202fam–9\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '9\u202fam–9\u202fpm', 'date': '2024-08-06'}]}",1242,['Live performances']
Escape-Events Frankfurt - Live Room Escape Games,"Hanauer Landstraße 187, 60314 Frankfurt am Main",069 20281616,http://www.escape-events.de/,"{'timezone': 'Europe/Berlin', 'days': [{'day': 'Wednesday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '10\u202fam–10\u202fpm', 'date': '2024-08-06'}]}",736,['Live performances']
Coronel Escape Rooms,"Havenstraat 295, 1271 GD Huizen, Netherlands",+31 35 526 8074,http://coronel.nl/escape-rooms/,"{'timezone': 'Europe/Amsterdam', 'days': [{'day': 'Wednesday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-07-31'}, {'day': 'Thursday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-01'}, {'day': 'Friday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-02'}, {'day': 'Saturday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-03'}, {'day': 'Sunday', 'time': '11\u202fam–10\u202fpm', 'date': '2024-08-04'}, {'day': 'Monday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-05'}, {'day': 'Tuesday', 'time': '11\u202fam–11\u202fpm', 'date': '2024-08-06'}]}",22,['Wheelchair-accessible car park']
